,Unnamed: 0,Title,Subtitle,Image,Author,Publication,Year,Month,Day,Reading_Time,Claps,url,Author_url,Tag_artificial-intelligence,Tag_data-analytics,Tag_data-engineering,Tag_data-science,Tag_deep-learning,Tag_machine-learning,Tag_nlp,Tag_python,Tag_r,Tag_reinforcement-learning,Tag_statistics,Category
2393,2393,"Reinforcement Learning, SUMO, and Complex Urban Traffic Management",This is the third in a series of posts surrounding Song Sang Kohs research for The LiFE Project. Read the first instalment here and the second instalment here.,0,The LiFE Project,Becoming Human: Artificial Intelligence Magazine,2018,1,19,5,212.0,https://becominghuman.ai/reinforcement-learning-sumo-and-complex-urban-traffic-management-82e3b8cdd110,https://becominghuman.ai/@thelifeproject,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2394,2394,Reinforcement LearningThe Fellowship of Las Vegas,,1,Sriram Ramaswamy,Becoming Human: Artificial Intelligence Magazine,2020,1,16,5,52.0,https://becominghuman.ai/reinforcement-learning-the-fellowship-of-las-vegas-a2cc0b551a15,https://becominghuman.ai/@skeletrox,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2395,2395,Reinforcement Learning | The Very Basics,"Reinforcement learning has been into a lot of hype these days in the AI community, due to",1,Rahul Bhatia,Becoming Human: Artificial Intelligence Magazine,2018,10,14,4,101.0,https://becominghuman.ai/reinforcement-learning-the-very-basics-53098b446002,https://becominghuman.ai/@rbhatia46,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2396,2396,Reinforcement Learning with FIFA and Keras,I recently came across an interesting article by Chintan Trivedi on training a model,1,Lezwon Castelino,Becoming Human: Artificial Intelligence Magazine,2018,9,11,7,146.0,https://becominghuman.ai/reinforcement-learning-with-fifa-and-keras-85ec792e25b2,https://becominghuman.ai/@lezwoncastellino,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2432,2432,Rule Based Pattern Recognition,"Rule based systems are there, we can understand some rules from",1,Bar  Can Tayiz,Becoming Human: Artificial Intelligence Magazine,2019,8,22,4,51.0,https://becominghuman.ai/rule-based-pattern-recognition-d6fe1c6a114f,https://becominghuman.ai/@brscntyz,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2535,2535,Teaching AI to play Flappy Bird with Unity,"At the height of its popularity, Flappy Bird was possibly the biggest waste of time",1,Adam Streck,Becoming Human: Artificial Intelligence Magazine,2018,10,27,12,456.0,https://becominghuman.ai/teaching-ai-to-play-flappy-bird-with-unity-70f7b661663d,https://becominghuman.ai/@adam.streck,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2725,2725,The very basics of Reinforcement Learning,This article will be a brief diversion from my first post on Q Learning(link given at,1,Aneek Das,Becoming Human: Artificial Intelligence Magazine,2017,3,28,7,200.0,https://becominghuman.ai/the-very-basics-of-reinforcement-learning-154f28a79071,https://becominghuman.ai/@aneekdas,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
2804,2804,Types of Machine Learning: Shallow,more than one ,1,Nazra Noushad,Becoming Human: Artificial Intelligence Magazine,2018,1,31,5,188.0,https://becominghuman.ai/types-of-machine-learning-977b9c00b3ef,https://becominghuman.ai/@nazranoushad,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
3448,3448,What is Machine Learning?,,1,Subash Basnet,Bajra Technologies Blog,2019,12,22,4,37.0,https://blog.bajratechnologies.com/what-is-machine-learning-3f5709313cf3,https://blog.bajratechnologies.com/@subash.basnet0123,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
3791,3791,Multi-Armed Bandits Problems and its variances,With the growth of 24h distribution application developed by Chappiebot Inc,1,Minh-Hoang Bui,Chappiebot,2018,10,23,5,4.0,https://blog.chappiebot.com/multi-armed-bandits-problems-and-its-variances-9064252757c9,https://blog.chappiebot.com/@minhhoangbui_19341,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
3910,3910,Reinforcement LearningThe Third Paradigm of Machine Learning: MLmuse,The enchanter behind the most happening inventions of artificial intelligence.,0,RekhaMolala,Clairvoyant Blog,2019,9,2,4,20.0,https://blog.clairvoyantsoft.com/reinforcement-learning-the-third-paradigm-of-machine-learning-1d7f61af9be4,https://blog.clairvoyantsoft.com/@chandrarekha31,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
3997,3997,Reinforcement learning in Python to teach a virtual car to avoid obstaclespart 2,"Looking at loss, parameter tuning, and next steps",0,Matt Harvey,Coastline Automation,2016,4,30,5,70.0,https://blog.coast.ai/reinforcement-learning-in-python-to-teach-a-virtual-car-to-avoid-obstacles-part-2-93e614fcd238,https://blog.coast.ai/@harvitronix,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
3998,3998,Reinforcement learning in Python to teach an RC car to drive itselfPart 3,Simulating the real world,0,Matt Harvey,Coastline Automation,2016,4,30,5,237.0,https://blog.coast.ai/reinforcement-learning-in-python-to-teach-an-rc-car-to-avoid-obstacles-part-3-a1d063ac962f,https://blog.coast.ai/@harvitronix,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
4002,4002,Using reinforcement learning in Python to teach a virtual car to avoid obstacles,"An experiment in Q-learning, neural networks and Pygame.",0,Matt Harvey,Coastline Automation,2016,4,30,9,489.0,https://blog.coast.ai/using-reinforcement-learning-in-python-to-teach-a-virtual-car-to-avoid-obstacles-6e782cc7d4c6,https://blog.coast.ai/@harvitronix,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
4545,4545,Programming an Autonomous Car that Runs Into Objects with TensorFlow,AWS released an awesome tool to,1,Gad Benram,DoiT International,2019,11,25,4,366.0,https://blog.doit-intl.com/turning-aws-deepracer-into-an-angry-bull-powered-by-tensorflow-9dbdd6b3e9cb,https://blog.doit-intl.com/@gidutz,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5316,5316,,,1,Mohit Pilkhan,Building Fynd,2020,8,2,12,160.0,https://blog.gofynd.com/building-a-deep-q-network-in-pytorch-fa1086aa5435,https://blog.gofynd.com/@mahakal001,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5332,5332,,Part 1 in Reinforcement Learning Series,0,Mohit Pilkhan,Building Fynd,2020,5,11,5,168.0,https://blog.gofynd.com/reinforcement-learning-a-quick-technical-overview-14cdd17ca88b,https://blog.gofynd.com/@mahakal001,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5397,5397,A Laymans Intro to Machine Learning,Explaining what machine learning is in very relatable stories,1,AYSY,Good Audience,2018,9,15,4,95.0,https://blog.goodaudience.com/a-laymans-intro-to-machine-learning-427b01798d73,https://blog.goodaudience.com/@wd50,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5595,5595,Learning Reinforcement learning in pictures,I need RL algo on prod yesterday Where do I start?,1,Andriy Lazorenko,Good Audience,2018,8,29,3,124.0,https://blog.goodaudience.com/learning-reinforcement-learning-in-pictures-677d7203708d,https://blog.goodaudience.com/@andriylazorenko,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5607,5607,Machine LearningTeaching Machines to Learn,Brains are quite simply the most amazing things. Do you want to know whats more,1,Anish Phadnis,Good Audience,2018,10,8,10,642.0,https://blog.goodaudience.com/machine-learning-teaching-machines-to-learn-61b0f3eaaba8,https://blog.goodaudience.com/@anishphadnis.ca,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5646,5646,Real-life examples of Markov Decision Processes,,0,Prasanth Omanakuttan,Good Audience,2018,9,18,2,61.0,https://blog.goodaudience.com/real-life-examples-of-markov-decision-processes-4c93afb2ac1a,https://blog.goodaudience.com/@pomanakuttan9642,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5650,5650,Reinforcement Learning Applications: A Brief Guide on How to Get Business Value from RL,,1,PERFECTIAL,Good Audience,2018,7,10,7,238.0,https://blog.goodaudience.com/reinforcement-learning-applications-a-brief-guide-on-how-to-get-business-value-from-rl-d46c12f3bc99,https://blog.goodaudience.com/@Perfectial,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5651,5651,Reinforcement Learning Lane Change Algorithm(DDQN),Introduction:,1,Jacob Ouyang,Good Audience,2018,12,19,7,202.0,https://blog.goodaudience.com/reinforcement-learning-lane-change-algorithm-ddqn-3d38dabfa087,https://blog.goodaudience.com/@jacob.ouyang88,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5658,5658,Simple explanation of reinforcement learning.,"After my last few posts, a few of my readers have asked me to present the topics",1,Prasanth Omanakuttan,Good Audience,2019,1,20,3,164.0,https://blog.goodaudience.com/simple-explanation-of-reinforcement-learning-1722c4ffe861,https://blog.goodaudience.com/@pomanakuttan9642,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5744,5744,What is inverse reinforcement learning?,One of the goals of AI research is to teach machines how to do the same things people do,1,Prasanth Omanakuttan,Good Audience,2018,12,22,6,229.0,https://blog.goodaudience.com/what-is-inverse-reinforcement-learning-e333228af146,https://blog.goodaudience.com/@pomanakuttan9642,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
5745,5745,When not to use Deep Learning.,We are living in the golden age of deep learning. This is quite literally the technology that launched,1,Prasanth Omanakuttan,Good Audience,2018,11,21,7,205.0,https://blog.goodaudience.com/when-not-to-use-deep-learning-f76af805e655,https://blog.goodaudience.com/@pomanakuttan9642,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
6111,6111,Inovia CTO Summit with Amii/Deepmind @UofA,We had a blast hosting our 6th annual CTO summit with Amii/DeepMind at UofA with 12,1,Hugues Lalancette,Inovia Conversations,2018,1,9,5,112.0,https://blog.inovia.vc/inovia-cto-summit-with-amii-deepmind-uofa-5a0f60f7143d,https://blog.inovia.vc/@hugueslalancette,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
6293,6293,Using Reinforcement Learning to Design a Better Rocket Engine,,1,Edward Mehr,Insight,2019,4,22,8,429.0,https://blog.insightdatascience.com/using-reinforcement-learning-to-design-a-better-rocket-engine-4dfd1770497a,https://blog.insightdatascience.com/@hackguru,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
7046,7046,Importance of data visualization for ML,"To round up my 7 week internship as machine learning engineer at ML6, I will talk about",1,Andreas De Neve,ML6team,2017,10,28,7,8.0,https://blog.ml6.eu/importance-of-data-visualization-for-ml-936239c355d0,https://blog.ml6.eu/@AndreasDeNeve,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
7103,7103,Salesforce builds AI system to query databases using natural language with MTurk,The team at Salesforce recently released an exciting paper describing how they used reinforcement learning and Amazon Mechanical Turk (MTurk) to convert natural language queries into SQL. With,0,Amazon Mechanical Turk,Happenings at MTurk,2017,9,3,1,6.0,https://blog.mturk.com/salesforce-builds-ai-system-to-query-databases-using-natural-language-with-mturk-611215e1ba68,https://blog.mturk.com/@mechanicalturk,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
7166,7166,Leverage Reinforcement Learning for building intelligent and adaptive trains that can successfully navigate a railway,,1,Stevanoska Evgenija,Netcetera Tech Blog,2020,3,18,9,76.0,https://blog.netcetera.com/leverage-reinforcement-learning-for-building-intelligent-and-adaptive-trains-that-can-successfully-9f4cdef80162,https://blog.netcetera.com/@stevanoska.evgenija,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
7656,7656,Race to Artificial General Intelligence (AGI),"Updated on Apr 16, 2018",1,Slava Kurilyak,Produvia,2016,10,31,4,100.0,https://blog.produvia.com/curated-news-1-93527fda6808,https://blog.produvia.com/@slavakurilyak,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
8393,8393,SingularityNETs First Simulation is Open to the Community,AI Researcher Debbie Duong discusses how community members can help build SingularityNET by using its own simulation.,0,Debbie Duong,SingularityNET,2018,5,26,10,631.0,https://blog.singularitynet.io/singularitynets-first-simulation-is-open-to-the-community-37445cb81bc4,https://blog.singularitynet.io/@debbieduong,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
8607,8607,Introduction to Imitation Learning,Learning from Demonstration: what has been done and the road ahead,1,Vitaly Kurin,Cube Dev,2017,8,29,11,513.0,https://blog.statsbot.co/introduction-to-imitation-learning-32334c3b1e7a,https://blog.statsbot.co/@yobibyte,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
8608,8608,Machine Learning Algorithms: Which One to Choose for Your Problem,Intuition of using different kinds of algorithms in different tasks,0,Daniil Korbut,Cube Dev,2017,10,28,8,4100.0,https://blog.statsbot.co/machine-learning-algorithms-183cc73197c,https://blog.statsbot.co/@daniilkorbut,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
9087,9087,Google football environmentinstallation and Training RL agentPart 1,,1,Vishal Bidawatka,Noteworthy The Journal Blog,2019,7,2,4,115.0,https://blog.usejournal.com/google-football-environment-installation-and-training-rl-agent-part-1-502e6117c271,https://blog.usejournal.com/@vishalbidawatka,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
9088,9088,Google football environmentTraining using Asynchronous Advantage Actor-Critic (A3C),,1,Ujwal Tewari,Noteworthy The Journal Blog,2019,7,5,3,154.0,https://blog.usejournal.com/google-football-environment-training-using-asynchronous-advantage-actor-critic-a3c-part-2-ad7efe95ee41,https://blog.usejournal.com/@ujwalkaka,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
9197,9197,My favorite mind-blowing ML/AI breakthroughs,"Compared to other fields, machine learning / artificial intelligence seems to have a much higher frequency of super-interesting developments these days. Things that make you say wow or even what a time to be alive! (as the creator of Two Minute",0,Jerry Chi,Noteworthy The Journal Blog,2019,2,10,7,1000.0,https://blog.usejournal.com/my-favorite-mind-blowing-ml-ai-breakthroughs-e7b4f3637e3d,https://blog.usejournal.com/@peacej2,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
9255,9255,Reinforcement Learning: The Intuition,Understanding the fundamentals of Reinforcement Learning,1,Vipul J,Noteworthy The Journal Blog,2020,2,5,7,253.0,https://blog.usejournal.com/reinforcement-learning-the-intuition-e5be462bb465,https://blog.usejournal.com/@jnvipul,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
9647,9647,Snapshots fra verdens reste maskinlringskonferansedel 2,,1,J rgen Wilhelmsen,Bekk,2019,12,13,7,100.0,https://blogg.bekk.no/snapshots-fra-verdens-r%C3%A5este-maskinl%C3%A6ringskonferanse-del-2-34a6387c2af8,https://blogg.bekk.no/@jorgen.wilhelmsen_8384,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
9863,9863,5 Ways to Get Started with Reinforcement Learning,,1,Harshvardhan Gupta,buZZrobot,2017,9,27,5,1700.0,https://buzzrobot.com/5-ways-to-get-started-with-reinforcement-learning-b96d1989c575,https://buzzrobot.com/@harshsayshi,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
9926,9926,From Ballerina to AI Researcher: Whats Next?,Results of the OpenAI scholarship during the last three,1,Sophia Aryan,buZZrobot,2018,8,31,4,84.0,https://buzzrobot.com/from-ballerina-to-ai-researcher-bottom-line-e61b7d7accb3,https://buzzrobot.com/@sophiaaryan,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
9935,9935,From Ballerina to AI Researcher: Part VIII,Reinforcement learning in NLP/NLU and my eighth week as an,1,Sophia Aryan,buZZrobot,2018,8,1,4,16.0,https://buzzrobot.com/from-ballerina-to-ai-researcher-part-viii-32c60923b991,https://buzzrobot.com/@sophiaaryan,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
9936,9936,From Ballerina to AI Researcher: Part X,Learning to play the Pong game: Embracing Reinforcement Learning,0,Sophia Aryan,buZZrobot,2018,8,20,3,2.0,https://buzzrobot.com/from-ballerina-to-ai-researcher-part-x-e1bfe1ce1c90,https://buzzrobot.com/@sophiaaryan,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
9987,9987,Reinforcement Learning / Summer 2017,This summer brought us a bunch of resources worth looking at if you are planning to get into,1,Grigory Sapunov,buZZrobot,2017,9,2,3,54.0,https://buzzrobot.com/reinforcement-learning-summer-2017-fc232f32a26e,https://buzzrobot.com/@moocaholic,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
10272,10272,"Facebook schaltet seine Bots ab, die untereinander eine neue Sprache entwickeln: Was wirklich geschah   ",,1,Sebastian F. Schwarz,Chatbot News Daily,2017,8,16,4,11.0,https://chatbotnewsdaily.com/facebook-schaltet-seine-bots-ab-die-untereinander-eine-neue-sprache-entwickeln-was-wirklich-22ea0aaaf5af,https://chatbotnewsdaily.com/@bastifantasti,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
11495,11495,Reward Model in Machine Learning,Adding reward parameters into markov chains is not a new modelling system. Agents and their behaviours,1,Bar  Can Tayiz,Chatbots Life,2019,4,3,4,54.0,https://chatbotslife.com/reward-model-in-machine-learning-c19a790dace6,https://chatbotslife.com/@brscntyz,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
11775,11775,Why Meta-learning is Crucial for Further Advances of Artificial Intelligence?,This article is extended version of the presentation I gave at General AI Challenge kick off meetup organized by GoodAI and MLMU.,0,Pavel Kord k,Chatbots Life,2017,3,28,7,62.0,https://chatbotslife.com/why-meta-learning-is-crucial-for-further-advances-of-artificial-intelligence-c2df55959adf,https://chatbotslife.com/@pavelkordik,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
12255,12255,Reinforcement Learning and Its Practical Applications,,1,Maruti Techlabs,Chatbots Magazine,2017,4,30,3,88.0,https://chatbotsmagazine.com/reinforcement-learning-and-its-practical-applications-8499e60cf751,https://chatbotsmagazine.com/@MarutiTech,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
12315,12315,"The Future with Reinforcement Learning, Part 1",,1,SAP Conversational AI,Chatbots Magazine,2018,9,6,10,65.0,https://chatbotsmagazine.com/the-future-with-reinforcement-learning-part-1-762cfcce3638,https://chatbotsmagazine.com/@SAPCAI,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
12316,12316,"The Future with Reinforcement Learning, Part 2: Comparisons and Applications",,1,SAP Conversational AI,Chatbots Magazine,2018,9,6,10,2.0,https://chatbotsmagazine.com/the-future-with-reinforcement-learning-part-2-comparisons-and-applications-cbb9ce03b8a4,https://chatbotsmagazine.com/@SAPCAI,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
12317,12317,"The Future with Reinforcement Learning, Part 3: Practical Reinforcement Learning",,1,SAP Conversational AI,Chatbots Magazine,2018,9,5,6,3.0,https://chatbotsmagazine.com/the-future-with-reinforcement-learning-part-3-practical-reinforcement-learning-4416b45404b5,https://chatbotsmagazine.com/@SAPCAI,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
13461,13461,Prescriptive recommender systems to autonomous operations,Why we need autonomous operations,1,Dickey Singh,"Musings on Entrepreneurship, Technology Photography",2018,5,2,5,1.0,https://dickeysingh.com/prescriptive-recommender-systems-to-autonomous-operations-733418e4c252,https://dickeysingh.com/@dickeysingh,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
14043,14043,Animal-AI Olympics,A reinforcement learning competition inspired by animal cognition.,1,Lucas Tindall,Gab41,2020,2,24,6,123.0,https://gab41.lab41.org/animal-ai-olympics-337df7ae16be,https://gab41.lab41.org/@lucasjtindall,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
14080,14080,Learning to Run a Power Network Challenge,Take a quick look around you. How many electronic devices or plugged-in appliances are,1,Zig Hampel,Gab41,2020,5,4,6,100.0,https://gab41.lab41.org/learning-to-run-a-power-network-challenge-c38af2166c43,https://gab41.lab41.org/@zhampel,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
14393,14393,Automating an AI to find the shortest route using reinforcement learning,Implementation of a use-case,1,Pragati Baheti,Heartbeat,2020,3,25,5,132.0,https://heartbeat.fritz.ai/automating-an-ai-to-find-the-shortest-route-using-reinforcement-learning-19dc9a3c0411,https://heartbeat.fritz.ai/@pragatibaheti001,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
14810,14810,Introduction to Reinforcement Learning,Machines that can learn from their own experiences,1,Pragati Baheti,Heartbeat,2020,3,11,8,117.0,https://heartbeat.fritz.ai/introduction-to-reinforcement-learning-a91beec7f830,https://heartbeat.fritz.ai/@pragatibaheti001,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
15538,15538,Deep Learning Illustrated: My First Book,"Im delighted to announce my first book, Deep Learning",1,Jon Krohn,untapt Insights,2019,4,30,6,94.0,https://insights.untapt.com/deep-learning-illustrated-my-first-book-d30e64f3fe0,https://insights.untapt.com/@jonkrohn,0,0,0,0,0,0,0,0,0,1,0,Tag_reinforcement-learning
