,Unnamed: 0,Title,Subtitle,Image,Author,Publication,Year,Month,Day,Reading_Time,Claps,url,Author_url,Tag_artificial-intelligence,Tag_data-analytics,Tag_data-engineering,Tag_data-science,Tag_deep-learning,Tag_machine-learning,Tag_nlp,Tag_python,Tag_r,Tag_reinforcement-learning,Tag_statistics,Category
1445,1445,Deep learning weekly short piece: when will AI exceed human performance?,when will human performance be exceeded by AI? ,0,Ophir Samson,Becoming Human: Artificial Intelligence Magazine,2017,6,2,2,6.0,https://becominghuman.ai/deep-learning-weekly-short-piece-when-will-ai-exceed-human-performance-b01a43becd33,https://becominghuman.ai/@ophir.samson02,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1525,1525,End-to-End Self-Driving Car Using Behavioral Cloning,Project #3 in the Udacity Self-Driving Car,1,David Clark,Becoming Human: Artificial Intelligence Magazine,2017,4,22,5,13.0,https://becominghuman.ai/end-to-end-self-driving-car-using-behavioral-cloning-5cad2610522c,https://becominghuman.ai/@SealedSaint,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1543,1543,Explain Neural Arithmetic Logic Units (NALU),So Deepmind released a new paper a few days ago with the title Neural Arithmetic,1,Sergios Karagiannakos,Becoming Human: Artificial Intelligence Magazine,2018,8,15,5,72.0,https://becominghuman.ai/explain-neural-arithmetic-logic-units-nalu-a2e19971334f,https://becominghuman.ai/@SergiosKar,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1578,1578,Thoughts on AI from a Psychological Perspective: Defining Intelligence,,1,T.Panova,Becoming Human: Artificial Intelligence Magazine,2017,11,2,10,79.0,https://becominghuman.ai/first-of-all-although-it-may-be-obvious-to-some-its-important-to-note-that-artificial-b2258be52e7a,https://becominghuman.ai/@TPanova,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1622,1622,Generating social media cover pictures from my followers ones using a nVidia DGX Station,,1,Asier Arranz,Becoming Human: Artificial Intelligence Magazine,2018,4,19,5,134.0,https://becominghuman.ai/generating-social-media-cover-pictures-from-my-followers-ones-397ec9f953e8,https://becominghuman.ai/@asierarranz,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1670,1670,Heroku for Deep LearningFloydHub,Thats what they say!,1,Prakhar Mishra,Becoming Human: Artificial Intelligence Magazine,2018,4,24,4,167.0,https://becominghuman.ai/heroku-for-deep-learning-floydhub-6bbc0fb6a77e,https://becominghuman.ai/@prakhar.mishra,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1773,1773,How facial recognition algorithm works,If surveillance system could recognize faces it would be much,1,Faceter Fog,Becoming Human: Artificial Intelligence Magazine,2017,10,16,6,186.0,https://becominghuman.ai/how-facial-recognition-algorithm-works-1c0809309fbb,https://becominghuman.ai/@Faceter,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1809,1809,"How OpenMined will revolutionize data privacy, protection and collection",,1,Dominic Monn,Becoming Human: Artificial Intelligence Magazine,2017,10,18,3,469.0,https://becominghuman.ai/how-openmined-will-revolutionize-data-privacy-protection-and-collection-2a634da76d63,https://becominghuman.ai/@dmonn,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1863,1863,How to Test any Deep Learning models on your Data without pain,,1,Thibaut Lucas,Becoming Human: Artificial Intelligence Magazine,2020,6,11,4,116.0,https://becominghuman.ai/how-to-test-any-deep-learning-models-on-your-data-without-pain-662f4cd0749a,https://becominghuman.ai/@thibautlucas13,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1866,1866,How to use AI Machine Learning in B2B Marketplace,,1,Chan,Becoming Human: Artificial Intelligence Magazine,2017,11,16,5,51.0,https://becominghuman.ai/how-to-use-ai-machine-learning-in-b2b-marketplace-a7f47c9b9af4,https://becominghuman.ai/@ckomagan,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1869,1869,How to use Google Cloud Vision API,,1,Karol Majek,Becoming Human: Artificial Intelligence Magazine,2017,12,14,5,75.0,https://becominghuman.ai/how-to-use-google-cloud-vision-api-4fbd800641f9,https://becominghuman.ai/@karol_majek,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1877,1877,How we shifted from Semantic Driven Transformations to a deep network of transformation bots,,1,Kamal YOUBI,Becoming Human: Artificial Intelligence Magazine,2017,9,11,7,1.0,https://becominghuman.ai/how-we-shifted-from-semantic-driven-transformations-to-a-deep-network-of-transformation-bots-420da332e4e5,https://becominghuman.ai/@kamalyoubi,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1897,1897,"Hungover at work? Your boss may not notice, but artificial intelligence might.",,1,Frank Mourinho,Becoming Human: Artificial Intelligence Magazine,2017,9,29,5,20.0,https://becominghuman.ai/hungover-at-work-your-boss-may-not-notice-but-artificial-intelligence-might-8dc4e579b2d7,https://becominghuman.ai/@frankmourinho.za,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1899,1899,Hype & Reality of Artificial Intelligence in Healthcare,,1,Sebastian Wurst,Becoming Human: Artificial Intelligence Magazine,2017,5,6,9,54.0,https://becominghuman.ai/hype-reality-of-artificial-intelligence-in-healthcare-a2be4f3452cd,https://becominghuman.ai/@sebastianhrw,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1909,1909,FastAI course by Jeremy Howard | Image Classification,Its always a mundane task to sit back and watch,1,Ujjwal Jain,Becoming Human: Artificial Intelligence Magazine,2019,6,7,9,200.0,https://becominghuman.ai/image-classification-using-fastai-c920dab740d,https://becominghuman.ai/@UjjwalJain_,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1939,1939,India e-commerce players will lose 3+ billion USD to fraud by 2020,,1,ThirdWatch,Becoming Human: Artificial Intelligence Magazine,2017,9,23,3,2.0,https://becominghuman.ai/india-e-commerce-players-will-lose-3-billion-usd-to-fraud-by-2020-a5524079d5da,https://becominghuman.ai/@thirdwatch,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1962,1962,Introducing Open Mined: Decentralised AI,Open Mined,1,Awa Sun Yin,Becoming Human: Artificial Intelligence Magazine,2017,8,4,4,438.0,https://becominghuman.ai/introducing-open-mined-decentralised-ai-18017f634a3f,https://becominghuman.ai/@awasunyin,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
1972,1972,Introduction to Optimization and Gradient Descent Algorithm [Part-1].,Optimizers lies at the heart of,1,Sahil Gupta,Becoming Human: Artificial Intelligence Magazine,2020,5,29,6,67.0,https://becominghuman.ai/introduction-to-optimization-and-gradient-descent-algorithm-part-1-33f23a450804,https://becominghuman.ai/@kgsahil,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2024,2024,The Known Stranger,How would you love me?How would you care?How would you walk with me?If all I think is beyond your understanding!If all I,1,Moulya Bangera,Becoming Human: Artificial Intelligence Magazine,2017,3,16,1,9.0,https://becominghuman.ai/known-stranger-82fdd0c496d7,https://becominghuman.ai/@moulyabangera,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2038,2038,Learning Deep Learning as a Curious Creative,Getting started with Machine Learning techniques can be daunting for a beginner,1,Utkarsh Saxena,Becoming Human: Artificial Intelligence Magazine,2017,9,18,9,70.0,https://becominghuman.ai/learning-deep-learning-as-a-curious-creative-d74b40bd13e6,https://becominghuman.ai/@saxenauts,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2091,2091,Machine Learning behind the scenes: what is dataset and why should it be qualitative?,,1,Exposit,Becoming Human: Artificial Intelligence Magazine,2020,8,27,4,50.0,https://becominghuman.ai/machine-learning-behind-the-scenes-what-is-dataset-and-why-should-it-be-qualitative-22f5358bf4a8,https://becominghuman.ai/@exposit,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2154,2154,Measuring the performance of a Classification problem,,1,Nitin Sai,Becoming Human: Artificial Intelligence Magazine,2020,6,18,6,63.0,https://becominghuman.ai/measuring-the-performance-of-a-classification-problem-104ee4319011,https://becominghuman.ai/@musicssns,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2170,2170,Modeling the way towards Artificial General Intelligence,,1,Isaac Oluoch,Becoming Human: Artificial Intelligence Magazine,2017,6,22,5,2.0,https://becominghuman.ai/modeling-the-way-towards-artificial-general-intelligence-c65df2d1a8a0,https://becominghuman.ai/@isaac_oluoch,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2229,2229,Neural Network with Deep Learning,Machine learning is a hot topic of discussion nowadays. And you can find its multitude of uses,1,Robert Smith,Becoming Human: Artificial Intelligence Magazine,2020,5,13,5,49.0,https://becominghuman.ai/neural-network-with-deep-learning-ff7dfbaed276,https://becominghuman.ai/@inforobertsmith36,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2234,2234,Neural Networks From Scratch Using Python,,1,Salman Faroz,Becoming Human: Artificial Intelligence Magazine,2019,11,18,4,64.0,https://becominghuman.ai/neural-networks-from-scratch-using-python-b96a415bfadd,https://becominghuman.ai/@salmanfaroz,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2237,2237,Neural NetworksRelation to Human Brain and Cognition,,1,Myroslava Zelenska,Becoming Human: Artificial Intelligence Magazine,2019,8,10,6,63.0,https://becominghuman.ai/neural-networks-relation-to-human-brain-and-cognition-b45575359f64,https://becominghuman.ai/@myroslavazel,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2273,2273,Nvidia and the GPU: contribution to the AI world of self-driving cars,,1,Lior Swissa,Becoming Human: Artificial Intelligence Magazine,2017,7,18,7,16.0,https://becominghuman.ai/nvidia-and-the-gpu-contribution-to-the-ai-world-of-self-driving-cars-1f00e3212508,https://becominghuman.ai/@liorswissa,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2277,2277,On AI driven automation and job losses,Disclaimer: I wrote this post in my companys internal social network. Just wanted to share,1,Arvind N,Becoming Human: Artificial Intelligence Magazine,2017,8,18,5,156.0,https://becominghuman.ai/on-ai-driven-automation-and-job-losses-255b06cbae3b,https://becominghuman.ai/@gedanken.thesis,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2302,2302,Passing and returning WebAssembly array parameters,Implementing an easier way to pass array parameters,1,Dan Ruta,Becoming Human: Artificial Intelligence Magazine,2017,9,28,4,276.0,https://becominghuman.ai/passing-and-returning-webassembly-array-parameters-a0f572c65d97,https://becominghuman.ai/@DanRuta,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2325,2325,Predict Bitcoin price with LSTM,"Bitcoin and cryptocurrencies are eating the world. Sure, they all have a huge slump over the past few",1,Sergios Karagiannakos,Becoming Human: Artificial Intelligence Magazine,2018,8,25,5,51.0,https://becominghuman.ai/predict-bitcoin-price-with-lstm-8e5a3ca19c5,https://becominghuman.ai/@SergiosKar,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2406,2406,ResNet : Convolution Neural Network,"ResNet, also known as residual neural network, refers to the idea of adding residual learning",1,Omkar More,Becoming Human: Artificial Intelligence Magazine,2020,8,25,3,55.0,https://becominghuman.ai/resnet-convolution-neural-network-e10921245d3d,https://becominghuman.ai/@ommore524,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
2433,2433,Running Deep Learning Models on AWS Lambda,"Recently, I read this amazing blog post about running Keras",1,Abhishek Patnia,Becoming Human: Artificial Intelligence Magazine,2017,9,28,3,28.0,https://becominghuman.ai/running-deep-learning-models-on-aws-lambda-cfd2f76ca048,https://becominghuman.ai/@abhishekpatnia,0,0,0,0,1,0,0,0,0,0,0,Tag_deep-learning
