,Unnamed: 0,Title,Subtitle,Image,Author,Publication,Year,Month,Day,Reading_Time,Claps,url,Author_url,Tag_artificial-intelligence,Tag_data-analytics,Tag_data-engineering,Tag_data-science,Tag_deep-learning,Tag_machine-learning,Tag_nlp,Tag_python,Tag_r,Tag_reinforcement-learning,Tag_statistics,Category
6151,6151,Create a cluster of instances on AWS,Distributed computing frameworks often require the creation of a set of machines that work with,1,Hoa Nguyen,Insight,2020,5,20,10,134.0,https://blog.insightdatascience.com/create-a-cluster-of-instances-on-aws-899a9dc5e4d0,https://blog.insightdatascience.com/@hoa_9453,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6153,6153,Data Engineering Fellows Program,,0,Insight,Insight,2016,8,30,0,2.0,https://blog.insightdatascience.com/data-engineering-fellows-program-e6792529eaaa,https://blog.insightdatascience.com/@InsightData,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6186,6186,Highlights from the SCaLE 15x conference,A Data Engineers view on his favorite Linux and Open Source conference.,0,AJ Heller,Insight,2017,3,31,3,8.0,https://blog.insightdatascience.com/highlights-from-the-scale-15x-conference-18cfb3cbd77e,https://blog.insightdatascience.com/@ajheller,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6197,6197,Implementing Lambda architecture to track real-time updates,,1,Insight,Insight,2016,3,31,8,96.0,https://blog.insightdatascience.com/implementing-lambda-architecture-to-track-real-time-updates-f99f03e0c53,https://blog.insightdatascience.com/@InsightData,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6198,6198,Ingestion Comparison: Kafka vs Kinesis,Thomas Schreiter discusses his project of comparing two,1,Insight,Insight,2016,1,31,6,104.0,https://blog.insightdatascience.com/ingestion-comparison-kafka-vs-kinesis-4c7f5193a7cd,https://blog.insightdatascience.com/@InsightData,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6202,6202,Insight Data Engineering & DevOps Engineering land in Seattle,,1,David E Drummond,Insight,2018,10,4,6,241.0,https://blog.insightdatascience.com/insight-data-engineering-devops-engineering-land-in-seattle-3826bc52b4de,https://blog.insightdatascience.com/@ddrum001,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6203,6203,Insight Data Engineering Fellows Program Applications Due November 3,,1,Shauna Anderson,Insight,2016,10,31,2,5.0,https://blog.insightdatascience.com/insight-data-engineering-fellows-program-applications-due-november-3-b6a948f10b9f,https://blog.insightdatascience.com/@shauna_43569,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6204,6204,Insight Data Engineering Fellows Program Expands to Boston,,1,Insight,Insight,2017,11,30,3,548.0,https://blog.insightdatascience.com/insight-data-engineering-fellows-program-expands-to-boston-36bd0d54c64f,https://blog.insightdatascience.com/@InsightData,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6212,6212,Insight Partners with IAVA to Help Veterans Transition to the Tech Industry,,1,Insight,Insight,2016,6,30,2,0.0,https://blog.insightdatascience.com/insight-partners-with-iava-to-help-veterans-transition-to-the-tech-industry-8c919fba49db,https://blog.insightdatascience.com/@InsightData,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6246,6246,Planting Quadtrees for Apache Flink,Dan Blazevski discusses his contribution to Apache Flink: Adding,1,Insight,Insight,2016,3,31,7,17.0,https://blog.insightdatascience.com/planting-quadtrees-for-apache-flink-b396ebc80d35,https://blog.insightdatascience.com/@InsightData,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6251,6251,Preparing for the Transition to Data Engineering,,1,Judit Lantos,Insight,2016,11,30,6,426.0,https://blog.insightdatascience.com/preparing-for-the-transition-to-data-engineering-bfb39d327316,https://blog.insightdatascience.com/@judit_56530,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6262,6262,Simply Install: Apache Hadoop,Hadoop is one of the most mature and well-known open-source big data frameworks on the market. Sprung from,1,Hoa Nguyen,Insight,2020,5,20,11,57.0,https://blog.insightdatascience.com/simply-install-apache-hadoop-2c0820879a75,https://blog.insightdatascience.com/@hoa_9453,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6275,6275,The Road to Streaming Graph Analysis,"A story about an Insight Data Engineering project that nearly wasnt, and the beginning of an",1,AJ Heller,Insight,2017,3,31,5,22.0,https://blog.insightdatascience.com/the-road-to-streaming-graph-analysis-35229c9c0352,https://blog.insightdatascience.com/@ajheller,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6276,6276,The Total Newbies Guide to Cassandra,"In this guide, Ill walk through what Cassandra generally isand is notits specific",1,max,Insight,2017,9,30,7,934.0,https://blog.insightdatascience.com/the-total-newbies-guide-to-cassandra-e63bce0316a4,https://blog.insightdatascience.com/@full_stack,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6280,6280,Top 10 blog posts to help you transition to data engineering,,1,Bastian Haase,Insight,2019,8,16,5,222.0,https://blog.insightdatascience.com/top-10-blog-posts-to-help-you-transition-to-data-engineering-1db2312ecdaf,https://blog.insightdatascience.com/@bastianhaase,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6282,6282,Top 6 data engineering frameworks to learn,The most important and useful frameworks that Insight,1,Bastian Haase,Insight,2019,8,20,4,191.0,https://blog.insightdatascience.com/top-6-data-engineering-frameworks-to-learn-b124f9b71ba5,https://blog.insightdatascience.com/@bastianhaase,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6457,6457,Batch ProcessingApache Spark,Lets talk about batch processing and introduce the Apache Spark framework.,1,Ty Shaikh,K2 Data Science Engineering,2019,1,31,12,114.0,https://blog.k2datascience.com/batch-processing-apache-spark-a67016008167,https://blog.k2datascience.com/@tyshaikh,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6458,6458,Batch ProcessingHadoop Ecosystem,,1,Ty Shaikh,K2 Data Science Engineering,2019,1,22,5,0.0,https://blog.k2datascience.com/batch-processing-hadoop-ecosystem-f6da88f11cae,https://blog.k2datascience.com/@tyshaikh,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6459,6459,Batch ProcessingMapReduce Paradigm,MapReduce is one of the most important concepts for big data processing. It allows for truly,1,Ty Shaikh,K2 Data Science Engineering,2019,1,17,5,2.0,https://blog.k2datascience.com/batch-processing-mapreduce-paradigm-d3c4d08dab6a,https://blog.k2datascience.com/@tyshaikh,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6460,6460,Big Data Systems 101,Lets talk about what big data is and what are the common types of big data architecture.,1,Ty Shaikh,K2 Data Science Engineering,2019,1,15,6,4.0,https://blog.k2datascience.com/big-data-systems-101-e9226a691d6b,https://blog.k2datascience.com/@tyshaikh,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6477,6477,Popular Questions about the Data Engineering Career Path,,1,Ty Shaikh,K2 Data Science Engineering,2019,1,8,4,11.0,https://blog.k2datascience.com/popular-questions-about-the-data-engineering-career-path-100a4b6297e2,https://blog.k2datascience.com/@tyshaikh,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6481,6481,Real-Time Data Sources for Data Engineering Projects,,1,Ty Shaikh,K2 Data Science Engineering,2019,1,10,2,72.0,https://blog.k2datascience.com/real-time-data-sources-for-data-engineering-projects-9bcff65c8468,https://blog.k2datascience.com/@tyshaikh,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6781,6781,All About Lodr | Serverless Data Prep for Redshift,In the video below I cover everything from why we launched Lodr to how our serverless architecture actually works. There is also a quick but detailed demo walking you through a complete load.,0,ajo,Lodr,2017,3,31,1,0.0,https://blog.lodr.io/all-about-lodr-serverless-data-prep-for-redshift-e2de267e2a6c,https://blog.lodr.io/@ajoabraham,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
6857,6857,A Evoluo do Pipeline de Dados,O processo de utilizao de dados por uma organizao acontece de forma incremental e contnua. Alm da,1,Guilherme Defreitas,Magrathea,2020,8,19,11,30.0,https://blog.magrathealabs.com/a-evolu%C3%A7%C3%A3o-do-pipeline-de-dados-b07e3672b2e3,https://blog.magrathealabs.com/@guidefreitas,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
7039,7039,Google Cloud Data FusionHow ML6 can bridge the data gap.,,1,Koen Verschaeren,ML6team,2019,4,11,4,138.0,https://blog.ml6.eu/google-cloud-data-fusion-how-ml6-can-bridge-the-data-gap-df914eb0fa18,https://blog.ml6.eu/@KoenVerschaeren,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
7062,7062,Utilizing Google Cloud Data Fusion to support Data Engineering at ML6,,1,Koen Verschaeren,ML6team,2019,5,9,4,106.0,https://blog.ml6.eu/utilizing-google-cloud-data-fusion-to-support-data-engineering-at-ml6-af9c05a8b12d,https://blog.ml6.eu/@KoenVerschaeren,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
7398,7398,How To Easily Extract Data With Headers From Amazon Redshift,"The process to extract data from Redshift can be as simple as running an UNLOAD command. However, the UNLOAD command has some limitations. The biggest limitation is not allowing you to include a header row in your output.",0,Thomas Spicer,Openbridge,2017,8,31,3,2.0,https://blog.openbridge.com/how-to-easily-extract-data-from-amazon-redshift-4e55435f7003,https://blog.openbridge.com/@thomas_spicer,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
9220,9220,Overview of UI monitoring tools for Apache Kafka clusters,,1,Giorgos Myrianthous,Noteworthy The Journal Blog,2019,7,23,5,158.0,https://blog.usejournal.com/overview-of-ui-monitoring-tools-for-apache-kafka-clusters-9ca516c165bd,https://blog.usejournal.com/@giorgosmyrianthous,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
9387,9387,"Workflow Automation: Empowering teams through our in-house, self-service framework",,1,Maikel Penz,Noteworthy The Journal Blog,2020,6,22,7,161.0,https://blog.usejournal.com/workflow-automation-empowering-teams-through-our-in-house-self-service-framework-3a0f5ba09ec1,https://blog.usejournal.com/@maikelpenz,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
9798,9798,Changing the GeographyHow HotelTonight Implemented a New Geo Solution,,1,Jonathan Teruya,Build Tonight,2018,10,30,9,47.0,https://build.hoteltonight.com/changing-the-geography-how-hoteltonight-implemented-a-new-geo-solution-802461a1fd99,https://build.hoteltonight.com/@jonathan.teruya,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
9800,9800,Financial ReconciliationHow we made the Auditors Happy,,1,Renganathan Sreenivasan,Build Tonight,2018,9,21,9,12.0,https://build.hoteltonight.com/financial-reconciliation-how-we-made-the-auditors-happy-18a51769dc00,https://build.hoteltonight.com/@renga_51544,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
9801,9801,How Spark and Redis help derive geographical insights about customers,,1,Parthiv Sukumar,Build Tonight,2017,11,30,7,122.0,https://build.hoteltonight.com/how-spark-and-redis-help-derive-geographical-insights-about-customers-be7e32c1f479,https://build.hoteltonight.com/@parthiv,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13265,13265,How-To: Loading Eloqua Activity Data in to Google BigQuery,Integrating Marketing Automation and Google,1,Jeremiah Coleman,DaaS Nerds,2017,11,18,5,8.0,https://daasnerds.com/how-to-loading-eloqua-activity-data-in-to-google-bigquery-bfa19b5d4c5e,https://daasnerds.com/@colemanja91,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13267,13267,Scaling Marketing Data Pipelines,Lessons from Site Reliability Engineering: Part 2,1,Jeremiah Coleman,DaaS Nerds,2017,11,17,6,77.0,https://daasnerds.com/scaling-marketing-data-pipelines-1f8f094f4ed,https://daasnerds.com/@colemanja91,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13277,13277,, garbage in garbage out,0,leafwind,all about data,2016,7,31,3,18.0,https://data.leafwind.tw/%E5%B8%B8%E7%9C%8B%E5%88%B0%E6%9C%89%E4%BA%BA%E8%AA%AA-c9c7f4767377,https://data.leafwind.tw/@leafwind,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13280,13280,/ Jenkins,,1,leafwind,all about data,2016,7,31,5,90.0,https://data.leafwind.tw/data-scientist-and-engineer-should-play-jenkins-9663d7305c9,https://data.leafwind.tw/@leafwind,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13283,13283, cluster, cluster ,0,leafwind,all about data,2017,1,31,8,51.0,https://data.leafwind.tw/let-your-data-pipeline-leave-cluster-as-early-as-possible-82e9565aa066,https://data.leafwind.tw/@leafwind,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13292,13292,The Challenges of Loading a Data Warehouse in Real Time,,1,Bob Wakefield,Data Driven Perspectives,2018,3,14,7,46.0,https://datadrivenperspectives.com/the-challenges-of-loading-a-data-warehouse-in-real-time-d925d8458ab5,https://datadrivenperspectives.com/@bobwakefield,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13294,13294,Why is Kafka Entering the Stream Processing Game?,"Recently, I gave a presentation on processing IoT data with Apache Spark. While preparing the deck for the presentation, I created a slide that listed the available stream processing frameworks. I argued with myself for a good five minutes",0,Bob Wakefield,Data Driven Perspectives,2017,11,18,4,28.0,https://datadrivenperspectives.com/why-is-kafka-entering-the-stream-processing-game-4d9ff2ead681,https://datadrivenperspectives.com/@bobwakefield,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13658,13658,Partitioning and Bucketing Data,"There are a lot of things wed like to do with Big Data such as querying, aggregating, transforming. But",1,Eswar Kondapavuluri,Chartboost Engineering,2019,8,13,4,63.0,https://engineering.chartboost.com/partitioning-and-bucketing-data-df4cd3253ef3,https://engineering.chartboost.com/@eswar.kondapavuluri,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13688,13688,My journey at HelloFresh: from Junior to Data Engineer,"Im Elena and I have been working in HelloFresh for the past two years, specifically in the Data Platform Tribe.",0,Maria Elena Chiappe,HelloTech,2020,7,22,4,100.0,https://engineering.hellofresh.com/my-journey-at-hellofresh-from-junior-to-data-engineer-8af3cc837fee,https://engineering.hellofresh.com/@melenachiappe93,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13704,13704,Highlights from Spark+AI Summit 2020 for Data engineers ,,1,Mehdi Ouazza,Klarna Engineering,2020,7,23,5,266.0,https://engineering.klarna.com/highlights-from-spark-ai-summit-2020-for-data-engineers-359211b1eec2,https://engineering.klarna.com/@mehdio,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13749,13749,Introducing Saltside Data Platform,"Data, yes data. A new language spoken by every industry in the modern era. Why does or how does a",1,Pramod Niralakeri,Saltside Engineering,2019,11,22,4,8.0,https://engineering.saltside.se/introducing-saltside-data-platform-763d26bec12b,https://engineering.saltside.se/@pramod.niralakeri,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13767,13767,Oslo Tech Meetup: GDPR from a technical perspective,Curious about GDPR? We co-hosted an event that,1,Tapad Engineering,Tapad Engineering,2018,2,6,3,3.0,https://engineering.tapad.com/oslo-tech-meetup-gdpr-from-a-technical-perspective-50ed1a98ecbb,https://engineering.tapad.com/@tapadeng,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13769,13769,Tapad Hosts First Event for Data Engineering Oslo Meet-up,"Read all about the event, speakers, and",1,Tapad Engineering,Tapad Engineering,2017,12,6,2,0.0,https://engineering.tapad.com/tapad-hosts-first-event-for-data-engineering-oslo-meet-up-4136157de22c,https://engineering.tapad.com/@tapadeng,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
13776,13776,BusyBotHelping customers get a seat on the right train,STEP 1: A HACK TO SOLVE OVERCROWDING,0,Trainline Engineering,Trainline s Team Blog,2016,8,30,3,6.0,https://engineering.thetrainline.com/busybot-helping-customers-get-a-seat-on-the-right-train-facfc582b529,https://engineering.thetrainline.com/@tleng.editor,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
14249,14249,Using Amazon Redshift as your Data Warehouse,Get the most out of Redshift by performance tuning your,1,Todd Birchard,Hackers and Slackers,2019,6,20,13,46.0,https://hackingandslacking.com/using-amazon-redshift-as-your-data-warehouse-11733184090,https://hackingandslacking.com/@toddbirchard.,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
14255,14255,Welcome to SQL 2: Working With Data Values,Explore the many flavors of SQL data manipulation in part 2 of our series.,1,Todd Birchard,Hackers and Slackers,2019,2,22,7,26.0,https://hackingandslacking.com/welcome-to-sql-2-working-with-data-values-e132389a72c4,https://hackingandslacking.com/@toddbirchard.,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15126,15126,How we created relational datasets from our graph databases in HMH,,1,Kevin McGarry,HMH Engineering,2019,7,3,5,31.0,https://hmh.engineering/how-we-created-relational-datasets-from-our-graph-databases-in-hmh-a8a7665882b6,https://hmh.engineering/@mcgarry.tech,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15330,15330,Friends dont let friends build data pipelines,"Building data pipelines can offer strategic advantages to the business. It can be used to power new analytics, insight, and product features. Often companies underestimate the necessary effort and cost involved to build and maintain data pipelines",0,Abhishek Tiwari,Infinite Monkey,2018,7,12,10,0.0,https://infinitemonkey.abhishek-tiwari.com/friends-dont-let-friends-build-data-pipelines-7410ff457ab2,https://infinitemonkey.abhishek-tiwari.com/@abhishektiwari,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15332,15332,Kubernetes for Big Data Workloads,"In 2018, Kubernetes will become de facto scheduler for big data",1,Abhishek Tiwari,Infinite Monkey,2017,12,27,7,0.0,https://infinitemonkey.abhishek-tiwari.com/kubernetes-for-big-data-workloads-1f99573c7b34,https://infinitemonkey.abhishek-tiwari.com/@abhishektiwari,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15443,15443,Cloud SQL Federated Queries (GCP)conectando o BigQuery ao transacional em tempo real,,1,Edson Alves de Carvalho J nior,Contabilizei,2020,2,11,4,7.0,https://inside.contabilizei.com.br/cloud-sql-federated-queries-gcp-conectando-o-bigquery-ao-transacional-em-tempo-real-8f7a102388f0,https://inside.contabilizei.com.br/@edsonjjunior,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15445,15445,Streaming de dados com Google Cloud Dataflow,"O streaming de dados  muito til para aplicaes em IoT, anlise em tempo real de",1,Guilherme Barczyszyn,Contabilizei,2019,4,2,6,87.0,https://inside.contabilizei.com.br/streaming-de-dados-com-google-cloud-dataflow-1cd6aa69bae8,https://inside.contabilizei.com.br/@guilherme.barczyszyn,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15629,15629,Academyfounded by LINKIT,"Within LINKIT, the founder of ITNEXT, we created tailor-made educational programs around different IT topics",1,LINKIT,ITNEXT,2019,11,5,3,136.0,https://itnext.io/academy-founded-by-linkit-9f7fe9e5115e,https://itnext.io/@LINKITGroup,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15677,15677,"Creating a Real-Time Flight-info Data Pipeline with StreamSets, Kafka, ElasticSearch and Kibana",,1,Anis Boudih,ITNEXT,2019,11,24,8,294.0,https://itnext.io/creating-a-real-time-flight-info-data-pipeline-with-streamsets-kafka-elasticsearch-and-kibana-dc40868c1021,https://itnext.io/@anisboudih,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15693,15693,Five highlights on the Spark 3.0.0 Release,"Spark 3.0.0 was officially released yesterday (18/Jun/2020), and it is a major change (no pun intended) in the most popular data processing engine of the world (Flink, you are great as well, but Spark is a bit more famous).",0,Thiago de Faria,ITNEXT,2020,6,19,6,473.0,https://itnext.io/five-highlights-on-the-spark-3-0-release-ab8775804e4b,https://itnext.io/@thiagodefaria,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15698,15698,Getting Data to Data Lake from MicroservicesPart 1: From Databases,Let say you have several services working together to serve a business. Each of your services has clear responsibility within a domain or bounded context. Now as a data team you want to get your data to your,0,Rendy B. Junior,ITNEXT,2018,3,30,4,130.0,https://itnext.io/getting-data-to-data-lake-from-microservices-part-1-from-databases-d5e55c4a0829,https://itnext.io/@rendybjunior,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15699,15699,Getting Data to Data Lake from MicroservicesPart 2: The Logs or Clickstream,,1,Rendy B. Junior,ITNEXT,2018,4,29,6,46.0,https://itnext.io/getting-data-to-data-lake-from-microservices-part-2-the-logs-or-clickstream-e91fa7461867,https://itnext.io/@rendybjunior,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15718,15718,How to set up local Apache Spark environment (5 ways),,1,Maciej Szymczyk,ITNEXT,2020,8,15,4,24.0,https://itnext.io/how-to-set-up-local-apache-spark-environment-5-ways-62910fa0e8ad,https://itnext.io/@zorteran,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15741,15741,ITNEXT.io Newsletter August,,1,Henk Pelk,ITNEXT,2019,8,6,7,12.0,https://itnext.io/itnext-io-newsletter-august-e59bb20ae300,https://itnext.io/@hendrikpelk,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
15742,15742,ITNEXT.io Newsletter  July ,The best articles that you might have missed!,1,Henk Pelk,ITNEXT,2019,7,2,3,16.0,https://itnext.io/itnext-io-newsletter-july-f7d0e261001c,https://itnext.io/@hendrikpelk,0,0,1,0,0,0,0,0,0,0,0,Tag_data-engineering
